Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
DB00915,DB01235,Amantadine
DB01200,DB00956,Bromocriptine
DB00190,DB01200,Carbidopa
DB00148,DB00248,Creatine
DB06262,DB08912,Droxidopa
DB00494,DB01074,Entacapone
DB01235,DB00745,L-DOPA
DB01235,DB01621,Levodopa
DB01065,DB01288,Melatonin
DB00370,DB01275,Mirtazapine
DB04868,DB06701,Nilotinib
DB00413,DB00780,Pramipexole
DB01367,DB01233,Rasagiline
DB00268,DB00289,Ropinirole
DB05271,DB05271,Rotigotine
DB06654,DB01186,Safinamide
DB01037,DB01037,Selegiline
DB00323,DB00181,Tolcapone
DB00376,DB01060,Trihexyphenidyl
DB00909,DB00215,Zonisamide
