Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
,DB,
DB01235,DB00190,Levodopa
DB00190,DB00458,Carbidopa
DB00494,DB01048,Entacapone
DB01037,DB00201,Selegiline
DB00915,DB00918,Amantadine
DB00413,DB00582,Pramipexole
DB00268,DB00221,Ropinirole
DB01367,DB01235,Rasagiline
DB00323,DB00209,Tolcapone
DB01200,DB00388,Bromocriptine
DB01186,DB00776,Pergolide
DB00714,DB01244,Apomorphine
DB11757,DB04844,Istradefylline
DB06654,DB09065,Safinamide
DB11632,DB09066,Opicapone
DB12612,DB09067,Ozanimod
DB12203,DB09068,Tozadenant
DB13927,DB09069,Anle138b
DB04868,DB09070,Nilotinib
