Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
DB01235,DB01235,Levodopa
DB00190,DB00918,Carbidopa
DB00494,DB01237,Entacapone
DB00268,DB00696,Ropinirole
DB00413,DB00235,Pramipexole
DB00323,DB01238,Tolcapone
DB01037,DB00902,Selegiline
DB01367,DB01043,Rasagiline
DB00915,DB01233,Amantadine
DB01200,DB00294,Bromocriptine
DB12783,DB01234,Benserazide
DB06654,DB04898,Safinamide
DB00714,DB01068,Apomorphine
DB05271,DB01229,Rotigotine
DB01186,DB01174,Pergolide
DB00248,DB00334,Cabergoline
DB11632,DB01240,Opicapone
DB11757,DB09183,Istradefylline
DB05316,DB09265,Pimavanserin
DB00148,DB00181,Creatine
