Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
DB00915,DB01235,Amantadine
DB01235,DB00168,L-DOPA
DB00494,DB00933,Entacapone
DB01367,DB01208,Rasagiline
DB00413,DB01200,Pramipexole
DB01037,DB00659,Selegiline
DB00323,DB00235,Tolcapone
DB00268,DB01186,Ropinirole
DB06654,DB01074,Safinamide
DB00190,DB01263,Carbidopa
DB01200,DB00334,Bromocriptine
DB05271,DB00422,Rotigotine
DB01186,DB00723,Pergolide
DB00714,DB00998,Apomorphine
DB01235,DB00860,Levodopa
DB00245,DB00294,Benztropine
DB00909,DB01288,Zonisamide
DB01173,DB01043,Orphenadrine
DB00387,DB01197,Procyclidine
DB00376,DB00948,Trihexyphenidyl
