Drug,Drug_Name,label
DB02342,Aminophylline,1
DB00054,2-Methoxyestradiol,1
DB12001,Abciximab,1
DB01418,Abemaciclib,1
DB00316,Acenocoumarol,1
DB11709,Acetaminophen,1
DB08885,Acetyl hexapeptide-3,1
DB01118,Aflibercept,1
DB00681,Amiodarone,1
DB09274,Amphotericin B,1
DB00945,Artesunate,1
DB00289,Aspirin,1
DB01076,Aspirin,1
DB00993,Atomoxetine,1
DB00972,Atorvastatin,1
DB00207,Azathioprine,1
DB12768,Azelastine,1
DB00181,Azithromycin,1
DB00394,BCG vaccine,1
DB12783,Baclofen,1
DB09084,Beclomethasone dipropionate,1
DB04115,Benserazide,1
DB00112,Benzydamine,1
DB12456,Berberine,1
DB11326,Berberine,1
DB00188,Bevacizumab,1
DB11776,Bococizumab,1
DB01200,Boric acid,1
DB01222,Bortezomib,1
DB00297,Brodalumab,1
DB05398,Bromocriptine,1
DB00146,Budesonide,1
DB00258,Bupivacaine,1
DB01101,C31G,1
DB06774,Calcifediol,1
DB01197,Calcium acetate,1
DB00958,Capecitabine,1
DB01136,Capsaicin,1
DB09050,Captopril,1
DB09261,Carboplatin,1
DB01410,Carboplatin,1
DB00515,Carvedilol,1
DB00155,Ceftolozane,1
DB01190,Certoparin,1
DB00758,Ciclesonide,1
DB09065,Cisplatin,1
DB00286,Cisplatin,1
DB11672,Citrulline,1
DB11682,Clindamycin,1
DB01260,Clopidogrel,1
DB00547,Cobicistat,1
DB00633,Conjugated estrogens,1
DB00514,Curcumin,1
DB00900,Daprodustat,1
DB01248,Desonide,1
DB00843,Desonide,1
DB00997,Desoximetasone,1
DB00254,Dexmedetomidine,1
DB01395,Dextromethorphan,1
DB01126,Didanosine,1
DB00378,Docetaxel,1
DB09272,Donepezil,1
DB00584,Doxorubicin,1
DB00668,Doxycycline,1
DB00199,Drospirenone,1
DB00016,Dutasteride,1
DB09119,Dydrogesterone,1
DB00783,Eluxadoline,1
DB00005,Enalapril,1
DB00773,Epinephrine,0
DB11741,Erythromycin,0
DB01039,Erythropoietin,0
DB00800,Eslicarbazepine acetate,0
DB04908,Estradiol,0
DB13146,Etanercept,0
DB09502,Etoposide,0
DB00544,Famitinib,0
DB00569,Fenofibrate,0
DB00983,Fenoldopam,0
DB06717,Flibanserin,0
DB00695,Fluciclovine (18F),0
DB01044,Fludeoxyglucose (18F),0
DB00222,Fluorouracil,0
DB00889,Fondaparinux,0
DB03404,Formoterol,0
DB01109,Fosaprepitant,0
DB08818,Furosemide,0
DB00999,Gatifloxacin,0
DB00327,Glimepiride,0
DB11602,Granisetron,0
DB06789,Hemin,0
DB00710,Heparin,0
DB01181,Heparin,0
DB11964,Hyaluronic acid,0
DB09374,Hydrochlorothiazide,0
DB00982,Hydromorphone,0
DB09083,Hydroxyethyl cellulose,0
DB00602,Hydroxyprogesterone caproate,0
DB01221,Ibandronate,0
DB01026,Ifosfamide,0
DB01009,Ilaprazole,0
DB00581,Indocyanine green,0
DB00709,Isotretinoin,0
DB01259,Ivabradine,0
DB09027,Ivermectin,0
DB00480,Ketamine,0
DB00650,Ketoconazole,0
DB01235,Ketoprofen,0
DB00166,Lactulose,0
DB00722,Lamivudine,0
DB06708,Lapatinib,0
DB01065,Ledipasvir,0
DB01042,Lenalidomide,0
DB00916,Leucovorin,0
DB00834,Leucovorin,0
DB11057,Levodopa,0
DB00295,Lipoic acid,0
DB00688,Lisinopril,0
DB00704,Lumefantrine,0
DB00788,Melatonin,0
DB12293,Melphalan,0
DB00238,Metronidazole,0
DB01115,Mifepristone,0
DB00727,Mineral oil,0
DB00646,Mineral oil,0
DB08888,Morphine,0
DB00104,Mycophenolate mofetil,0
DB01165,Naltrexone,0
DB00334,Naproxen,0
DB00904,Nefopam,0
DB11130,Nevirapine,0
DB01229,Nifedipine,0
DB00377,Nitroglycerin,0
DB00642,Nystatin,0
DB08883,Ocriplasmin,0
DB09350,Octreotide,0
DB00554,Ofloxacin,0
DB06715,Olanzapine,0
DB00818,Ondansetron,0
DB01839,Opium,0
DB11087,Paclitaxel,0
DB00114,Paclitaxel,0
DB00205,Palonosetron,0
DB00908,Pemetrexed,0
DB01129,Perampanel,0
DB00178,Piperonyl butoxide,0
DB01270,Piroxicam,0
DB01367,Potassium Iodide,0
DB12404,Propofol,0
DB00015,Propylene glycol,0
DB11614,Pyrethrum extract,0
DB09029,Pyridoxal phosphate,0
DB00641,Pyrimethamine,0
DB01266,Quinidine,0
DB09325,Rabeprazole,0
DB08934,Ramipril,0
DB01638,Ranibizumab,0
DB00649,Rasagiline,0
DB00202,Remimazolam,0
DB00364,Reteplase,0
DB06206,Rupatadine,0
DB01299,Secukinumab,0
DB01015,Simvastatin,0
DB00669,Simvastatin,0
DB00820,Sinecatechins,0
DB00706,Sodium fluoride,0
DB09071,Sofosbuvir,0
DB12441,Sofosbuvir,0
DB01606,Sorbitol,0
DB00853,Stavudine,0
DB00031,Succinylcholine,0
DB00300,Sucralfate,0
DB00277,Sugammadex,0
DB00373,Sulfadoxine,0
DB00775,Sulfamethoxazole,0
DB00013,Sumatriptan,0
DB05679,Sumatriptan,0
DB00313,Tadalafil,0
DB09082,Tamsulosin,0
DB09185,Tasimelteon,0
DB00541,Tavilermide,0
DB00309,Tazobactam,0
DB00169,Temozolomide,0
DB11693,Tenecteplase,0
DB00682,Tenofovir disoproxil,0
DB09145,Theophylline,0
DB09315,Timolol,0
DB12537,Tirofiban,0
DB06151,Urokinase,0
DB06594,Ustekinumab,0
DB00518,Valproic acid,0
DB00062,Vilanterol,0
DB00915,Viloxazine,0
DB00513,Vincristine,0
DB06288,Vindesine,0
DB01060,Vitamin D3,0
DB05676,Voclosporin,0
DB06692,Warfarin,0
DB01238,Water,0
DB00905,Xenon-133,0
DB00484,"1,2-Benzodiazepine",0
DB00963,Acetylcysteine,0
DB00248,Agomelatine,0
DB11348,Albendazole,0
DB01164,Albumin human,0
