Drug,Drug_Name,label
DB06151,Acetylcysteine,1
DB00009,Alteplase,1
DB04947,Altropane,1
DB06742,Ambroxol,1
DB11885,Anlotinib,1
DB11595,Atezolizumab,1
DB12299,Bavisant,1
DB00112,Bevacizumab,1
DB00612,Bisoprolol,1
DB00887,Bumetanide,1
DB00490,Buspirone,1
DB09061,Cannabidiol,1
DB06774,Capsaicin,1
DB12733,Dipraglurant,1
DB00988,Dopamine,1
DB00997,Doxorubicin,1
DB00773,Etoposide,1
DB00973,Ezetimibe,1
DB09149,Florbetapir (18F),1
DB09502,Fludeoxyglucose (18F),1
DB06716,Fospropofol,1
DB13004,Mavoglurant,1
DB09037,Pembrolizumab,1
DB12361,Piclozotan,1
DB05316,Pimavanserin,1
DB00273,Topiramate,1
DB00809,Tropicamide,1
DB00054,Abciximab,1
DB12001,Abemaciclib,1
DB00945,Aspirin,1
DB00289,Atomoxetine,1
DB00993,Azathioprine,1
DB12783,Benserazide,1
DB04115,Berberine,1
DB12456,Bococizumab,1
DB01200,Bromocriptine,1
DB01101,Capecitabine,1
DB00958,Carboplatin,1
DB09261,Certoparin,1
DB00515,Cisplatin,1
DB00758,Clopidogrel,1
DB00514,Dextromethorphan,1
DB01248,Docetaxel,1
DB00843,Donepezil,1
DB11741,Famitinib,1
DB00544,Fluorouracil,1
DB06717,Fosaprepitant,1
DB00695,Furosemide,1
DB00889,Granisetron,1
DB01109,Heparin,1
DB01259,Lapatinib,1
DB00650,Leucovorin,1
DB01235,Levodopa,1
DB00916,Metronidazole,1
DB11057,Mineral oil,1
DB00688,Mycophenolate mofetil,1
DB00646,Nystatin,1
DB00334,Olanzapine,1
DB00904,Ondansetron,1
DB01229,Paclitaxel,1
DB00377,Palonosetron,1
DB00642,Pemetrexed,1
DB08883,Perampanel,1
DB06715,Potassium Iodide,1
DB00205,Pyrimethamine,1
DB00908,Quinidine,1
DB01367,Rasagiline,1
DB00015,Reteplase,1
DB00641,Simvastatin,1
DB09325,Sodium fluoride,1
DB01299,Sulfadoxine,1
DB00775,Tirofiban,1
DB00013,Urokinase,1
DB06594,Agomelatine,1
DB00915,Amantadine,1
DB00513,Aminocaproic acid,1
DB05676,Apremilast,1
DB06692,Aprotinin,1
DB01238,Aripiprazole,1
DB00905,Bimatoprost,1
DB00484,Brimonidine,1
DB00248,Cabergoline,1
DB06262,Droxidopa,1
DB00879,Emtricitabine,1
DB00783,Estradiol,1
DB11075,Hypromellose,1
DB00030,Insulin human,1
DB00218,Moxifloxacin,1
DB09320,Procaine benzylpenicillin,1
DB00396,Progesterone,1
DB01224,Quetiapine,1
DB00503,Ritonavir,1
DB01098,Rosuvastatin,1
DB09153,Sodium chloride,1
DB00300,Tenofovir disoproxil,1
DB00662,Trimethobenzamide,1
DB05812,Abiraterone,0
